Name,Age,Favorite Fruit
Kid_1,15,Pineapple
Kid_2,13,Pineapple
Kid_3,13,Grape
Kid_4,15,Banana
Kid_5,14,Pineapple
Kid_6,13,Mango
Kid_7,13,Apple
Kid_8,13,Banana
Kid_9,15,Apple
Kid_10,13,Mango
Kid_11,15,Orange
Kid_12,15,Mango
Kid_13,15,Apple
Kid_14,13,Banana
Kid_15,15,Grape
Kid_16,14,Pineapple
Kid_17,13,Mango
Kid_18,13,Banana
Kid_19,13,Pineapple
Kid_20,13,Orange
Kid_21,13,Orange
Kid_22,15,Pineapple
Kid_23,15,Orange
Kid_24,13,Banana
Kid_25,15,Mango
Kid_26,13,Banana
Kid_27,15,Banana
Kid_28,15,Pineapple
Kid_29,15,Grape
Kid_30,15,Grape
Kid_31,14,Mango
Kid_32,13,Pineapple
Kid_33,14,Grape
Kid_34,15,Orange
Kid_35,14,Grape
Kid_36,13,Orange
Kid_37,13,Mango
Kid_38,15,Banana
Kid_39,14,Banana
Kid_40,14,Grape
Kid_41,14,Orange
Kid_42,13,Apple
Kid_43,13,Apple
Kid_44,14,Apple
Kid_45,13,Banana
Kid_46,13,Pineapple
Kid_47,14,Banana
Kid_48,13,Pineapple
Kid_49,14,Orange
Kid_50,14,Grape
Kid_51,15,Apple
Kid_52,14,Orange
Kid_53,13,Orange
Kid_54,15,Grape
Kid_55,14,Orange
Kid_56,15,Grape
Kid_57,13,Mango
Kid_58,14,Grape
Kid_59,13,Apple
Kid_60,15,Pineapple
Kid_61,14,Pineapple
Kid_62,15,Apple
Kid_63,15,Pineapple
Kid_64,14,Grape
Kid_65,15,Mango
Kid_66,13,Pineapple
Kid_67,15,Mango
Kid_68,13,Apple
Kid_69,13,Mango
Kid_70,15,Orange
Kid_71,13,Banana
Kid_72,14,Orange
Kid_73,13,Apple
Kid_74,13,Pineapple
Kid_75,13,Pineapple
Kid_76,14,Mango
Kid_77,14,Grape
Kid_78,14,Banana
Kid_79,15,Grape
Kid_80,14,Apple
Kid_81,13,Pineapple
Kid_82,14,Mango
Kid_83,14,Pineapple
Kid_84,13,Grape
Kid_85,15,Grape
Kid_86,14,Banana
Kid_87,15,Banana
Kid_88,15,Mango
Kid_89,15,Banana
Kid_90,13,Grape
Kid_91,15,Grape
Kid_92,15,Apple
Kid_93,13,Grape
Kid_94,15,Mango
Kid_95,15,Orange
Kid_96,13,Apple
Kid_97,13,Apple
Kid_98,14,Mango
Kid_99,14,Mango
Kid_100,14,Banana
